kmer_target	count_samples_present	count_samples_absent	count_mixed_samples	mixed_samples_ids
1	13	0	0	[]
2	13	0	0	[]
3	13	0	0	[]
4	13	0	0	[]
5	13	0	0	[]
6	13	0	0	[]
7	13	0	0	[]
8	13	0	0	[]
9	13	0	0	[]
10	13	0	0	[]
11	13	0	0	[]
12	13	0	0	[]
13	13	0	0	[]
14	13	0	0	[]
15	13	0	0	[]
16	13	0	0	[]
17	13	0	0	[]
18	13	0	0	[]
19	13	0	0	[]
20	13	0	0	[]
21	13	0	0	[]
22	13	0	0	[]
23	13	0	0	[]
24	13	0	0	[]
25	13	0	0	[]
26	13	0	0	[]
27	13	0	0	[]
28	13	0	0	[]
29	13	0	0	[]
30	13	0	0	[]
31	13	0	0	[]
32	13	0	0	[]
34	13	0	0	[]
35	13	0	0	[]
36	13	0	0	[]
37	13	0	0	[]
38	13	0	0	[]
39	13	0	0	[]
40	13	0	0	[]
41	13	0	0	[]
42	13	0	0	[]
44	13	0	0	[]
45	13	0	0	[]
46	13	0	0	[]
47	13	0	0	[]
48	13	0	0	[]
49	13	0	0	[]
50	13	0	0	[]
51	13	0	0	[]
52	13	0	0	[]
53	13	0	0	[]
54	13	0	0	[]
55	13	0	0	[]
56	13	0	0	[]
57	13	0	0	[]
59	13	0	0	[]
60	13	0	0	[]
62	13	0	0	[]
63	13	0	0	[]
64	13	0	0	[]
65	13	0	0	[]
66	13	0	0	[]
67	13	0	0	[]
68	13	0	1	['merged_testing2']
70	13	0	0	[]
71	13	0	0	[]
73	13	0	0	[]
74	13	0	0	[]
75	13	0	0	[]
76	13	0	0	[]
77	13	0	1	['merged_testing2']
78	13	0	0	[]
79	13	0	0	[]
80	13	0	0	[]
81	13	0	0	[]
82	13	0	0	[]
83	13	0	0	[]
84	13	0	0	[]
85	13	0	0	[]
86	13	0	0	[]
87	13	0	0	[]
88	13	0	0	[]
89	13	0	0	[]
90	13	0	0	[]
91	13	0	0	[]
92	13	0	0	[]
93	13	0	0	[]
94	13	0	0	[]
96	13	0	0	[]
97	13	0	0	[]
98	13	0	0	[]
99	13	0	0	[]
100	13	0	0	[]
101	13	0	0	[]
102	13	0	0	[]
103	13	0	0	[]
104	13	0	0	[]
105	13	0	0	[]
106	13	0	0	[]
107	13	0	0	[]
108	13	0	0	[]
109	13	0	0	[]
110	13	0	0	[]
111	13	0	0	[]
112	13	0	0	[]
113	13	0	0	[]
114	13	0	0	[]
115	13	0	0	[]
116	13	0	0	[]
117	13	0	0	[]
118	13	0	0	[]
119	13	0	0	[]
120	13	0	0	[]
121	13	0	0	[]
122	13	0	0	[]
123	13	0	0	[]
124	13	0	0	[]
125	13	0	0	[]
126	13	0	0	[]
127	13	0	0	[]
128	13	0	0	[]
129	13	0	0	[]
130	13	0	0	[]
131	13	0	0	[]
132	13	0	0	[]
133	13	0	0	[]
134	13	0	0	[]
135	13	0	0	[]
136	13	0	0	[]
137	13	0	0	[]
138	13	0	0	[]
139	13	0	0	[]
140	13	0	0	[]
141	13	0	0	[]
142	13	0	0	[]
143	13	0	0	[]
144	13	0	0	[]
145	13	0	0	[]
146	13	0	0	[]
147	13	0	0	[]
148	13	0	0	[]
149	13	0	0	[]
150	13	0	0	[]
151	13	0	0	[]
152	13	0	0	[]
153	13	0	0	[]
154	13	0	0	[]
155	13	0	0	[]
156	13	0	0	[]
157	13	0	0	[]
158	13	0	0	[]
159	13	0	0	[]
160	13	0	0	[]
161	13	0	0	[]
162	13	0	0	[]
163	13	0	0	[]
164	13	0	0	[]
165	13	0	0	[]
166	13	0	0	[]
167	13	0	0	[]
168	13	0	0	[]
170	13	0	0	[]
171	13	0	0	[]
